"exposure","outcome","provider","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","wm_b","wm_p","Q","Q_p","steiger_correct","steiger_p"
"HDL","Stroke","MEGASTROKE",439,-0.120741333114676,0.0259195998961009,3.18827713326594e-06,0.00781605991369757,0.83941316550561,-0.00389514276365178,1.18362856018823e-05,-0.0718892796039315,0.0513478703848875,679.521165691221,1.00775257993729e-12,TRUE,0
"HF","Stroke","MEGASTROKE",44,0.414386843906366,0.0689059104319885,1.8121628869299e-09,0.591619248562436,0.00714849083075812,-0.00775352942509506,0.374572502412685,0.301869694341269,5.97419383755484e-06,151.796944047843,4.69694549865303e-14,TRUE,1.05520093227005e-11
"LDL","Stroke","MEGASTROKE",333,0.0710676710593959,0.0299118535296633,0.0175060506305839,0.0866052264495488,0.0665289304415134,-0.000494339044626069,0.668739218917702,0.108085105533125,0.00991342131677756,559.24992482043,7.8203675211994e-14,TRUE,0
"SBP","Stroke","MEGASTROKE",429,0.0327044406581742,0.00213039813689735,3.47009173243937e-53,0.0413555700240406,1.79101206704737e-13,-0.00286036513419305,0.0844861312373149,0.0344206448904844,2.36236928191656e-36,867.186364332897,4.78057235699226e-32,TRUE,0
"T2D","Stroke","MEGASTROKE",115,0.0934834539707578,0.0149725518323834,4.27461224618741e-10,0.0920570181602614,0.0102081502014501,0.000113294003558111,0.964374602565104,0.098793836667213,9.10821863097329e-06,176.190651711111,0.000167725610179655,TRUE,0
"TC","Stroke","MEGASTROKE",400,0.0387324863844193,0.0276550396316101,0.161346294496354,0.0532831937361139,0.214527679739096,-0.000461626510692964,0.656779788323201,0.0930620516529719,0.0131454116211173,679.940989102205,5.94619662100381e-17,TRUE,0
"TG","Stroke","MEGASTROKE",419,0.12094141987386,0.0284339452702663,2.10533204066844e-05,0.036719726216837,0.411232419463209,0.00225452184090715,0.0152027282027931,0.0365150088239226,0.396867649952666,622.630704121331,2.9651180456023e-10,TRUE,0
"BMI","T2D","FinnGen",493,0.869043921232071,0.0482263788220881,1.35510944519481e-72,1.05360750693514,2.11964576702157e-15,-0.00322293546726623,0.121951828469121,0.931771849142111,1.1583422035107e-144,3371.14742960865,0,TRUE,0
"BMI","T2D","Mahajan",505,0.929119369836374,0.057848232789374,4.76254088438487e-58,0.993540413880743,3.26474025102802e-10,-0.00112096841338241,0.654049768730154,0.985975793512475,8.34319684020356e-95,2512.73789367915,2.7023325012664e-263,TRUE,0
"CAD","T2D","FinnGen",174,0.145011785490461,0.0251985341226904,8.67594837679871e-09,0.0236299371080097,0.634470562000772,0.00750024454177259,0.00534536050372275,0.0925397739872113,4.28458655715738e-05,1065.99125158501,2.07559220492046e-128,TRUE,1.51415626900452e-252
