"exposure","outcome","cross","direction","nsnp","prev_exp","prev_out","at_base","r2_exp","r2_out","correct_dir"
"T2D","HF","True","forward",115,0.075,0.01,FALSE,0.0348988568447351,0.00077091444916908,TRUE
"T2D","HF","True","forward",115,0.075,0.015,FALSE,0.0348988568447351,0.000770916449417173,TRUE
"T2D","HF","True","forward",115,0.075,0.02,FALSE,0.0348988568447351,0.000770918447092076,TRUE
"T2D","HF","True","forward",115,0.075,0.035,FALSE,0.0348988568447351,0.000770924424677652,TRUE
"T2D","HF","True","forward",115,0.075,0.05,FALSE,0.0348988568447351,0.000770930379104526,TRUE
"T2D","HF","True","forward",115,0.1,0.01,FALSE,0.0349122163186354,0.00077091444916908,TRUE
"T2D","HF","True","forward",115,0.1,0.015,FALSE,0.0349122163186354,0.000770916449417173,TRUE
"T2D","HF","True","forward",115,0.1,0.02,TRUE,0.0349122163186354,0.000770918447092076,TRUE
"T2D","HF","True","forward",115,0.1,0.035,FALSE,0.0349122163186354,0.000770924424677652,TRUE
"T2D","HF","True","forward",115,0.1,0.05,FALSE,0.0349122163186354,0.000770930379104526,TRUE
"T2D","HF","True","forward",115,0.125,0.01,FALSE,0.0349253744362452,0.00077091444916908,TRUE
"T2D","HF","True","forward",115,0.125,0.015,FALSE,0.0349253744362452,0.000770916449417173,TRUE
"T2D","HF","True","forward",115,0.125,0.02,FALSE,0.0349253744362452,0.000770918447092076,TRUE
"T2D","HF","True","forward",115,0.125,0.035,FALSE,0.0349253744362452,0.000770924424677652,TRUE
"T2D","HF","True","forward",115,0.125,0.05,FALSE,0.0349253744362452,0.000770930379104526,TRUE
"T2D","HF","True","forward",115,0.15,0.01,FALSE,0.0349383312154837,0.00077091444916908,TRUE
